feature,feature value,n_samples,precision,recall,fbeta
occupation,Priv-house-serv,34,1.0,1.0,1.0
occupation,Armed-Forces,1,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Husband,2611,0.7731864095500459,0.7135593220338983,0.742177170559718
relationship,Not-in-family,1664,0.6929824561403509,0.5374149659863946,0.6053639846743296
relationship,Unmarried,716,0.9285714285714286,0.29545454545454547,0.4482758620689656
relationship,Wife,311,0.7375886524822695,0.7222222222222222,0.7298245614035088
relationship,Own-child,1027,0.625,0.3125,0.4166666666666667
relationship,Other-relative,184,0.6666666666666666,0.4,0.5
feature,feature value,n_samples,precision,recall,fbeta
race,White,5561,0.7659235668789809,0.6856735566642908,0.7235802933433622
race,Black,625,0.7551020408163265,0.5211267605633803,0.6166666666666667
race,Asian-Pac-Islander,205,0.7407407407407407,0.7142857142857143,0.7272727272727273
race,Other,57,0.6666666666666666,0.8,0.7272727272727272
race,Amer-Indian-Eskimo,65,0.5714285714285714,0.6666666666666666,0.6153846153846153
feature,feature value,n_samples,precision,recall,fbeta
sex,Male,4349,0.7694886839899413,0.6991622239146992,0.7326416600159616
sex,Female,2164,0.7206703910614525,0.5657894736842105,0.6339066339066339
feature,feature value,n_samples,precision,recall,fbeta
native-country,United-States,5834,0.7639109697933227,0.6805949008498584,0.7198501872659178
native-country,Hungary,2,1.0,1.0,1.0
native-country,Canada,25,0.8333333333333334,0.5555555555555556,0.6666666666666667
native-country,South,12,1.0,1.0,1.0
native-country,Greece,6,1.0,0.6666666666666666,0.8
native-country,?,133,0.84375,0.7714285714285715,0.8059701492537314
native-country,Germany,28,0.8333333333333334,0.5555555555555556,0.6666666666666667
native-country,Mexico,129,0.6,0.5,0.5454545454545454
native-country,Ireland,9,1.0,1.0,1.0
native-country,Columbia,16,1.0,1.0,1.0
native-country,Yugoslavia,3,1.0,0.0,0.0
native-country,El-Salvador,22,1.0,1.0,1.0
native-country,Japan,14,0.7777777777777778,1.0,0.8750000000000001
native-country,France,5,0.0,1.0,0.0
native-country,India,18,0.6666666666666666,0.8,0.7272727272727272
native-country,England,15,0.5,0.3333333333333333,0.4
native-country,Philippines,37,0.7142857142857143,0.7692307692307693,0.7407407407407408
native-country,Guatemala,13,1.0,0.3333333333333333,0.5
native-country,Cuba,14,1.0,1.0,1.0
native-country,Jamaica,13,1.0,0.0,0.0
native-country,Vietnam,11,1.0,1.0,1.0
native-country,Outlying-US(Guam-USVI-etc),6,1.0,1.0,1.0
native-country,Puerto-Rico,26,0.5,0.3333333333333333,0.4
native-country,Peru,5,1.0,1.0,1.0
native-country,Italy,15,0.5,0.6666666666666666,0.5714285714285715
native-country,China,15,0.3333333333333333,0.3333333333333333,0.3333333333333333
native-country,Ecuador,5,0.0,0.0,1.0
native-country,Haiti,8,1.0,0.0,0.0
native-country,Taiwan,13,0.75,0.6,0.6666666666666665
native-country,Hong,4,1.0,0.5,0.6666666666666666
native-country,Dominican-Republic,13,1.0,0.0,0.0
native-country,Iran,5,0.5,0.5,0.5
native-country,Thailand,2,0.0,1.0,0.0
native-country,Poland,10,1.0,1.0,1.0
native-country,Cambodia,2,1.0,1.0,1.0
native-country,Holand-Netherlands,1,1.0,1.0,1.0
native-country,Portugal,4,1.0,1.0,1.0
native-country,Trinadad&Tobago,4,1.0,1.0,1.0
native-country,Nicaragua,7,1.0,1.0,1.0
native-country,Honduras,3,1.0,1.0,1.0
native-country,Laos,3,1.0,1.0,1.0
native-country,Scotland,3,1.0,1.0,1.0
